snapshot_hour_utc,appid,rank,last_week_rank,peak_in_game
2026-08-28T01,2142790,96,79,20353
2026-08-28T01,2246340,97,93,20888
2026-08-28T01,1144200,98,96,9048
2026-08-28T01,2399830,100,102,27077
2026-08-28T01,730,1,1,1249537
2026-08-28T01,570,2,2,885638
2026-08-28T01,578080,3,3,735831
2026-08-28T01,431960,4,4,113460
2026-08-28T01,4001890,5,150,372462
2026-08-28T01,1172470,6,5,257945
2026-08-28T01,1623730,7,6,162853
2026-08-28T01,271590,8,10,82145
2026-08-28T01,250900,9,9,91610
2026-08-28T01,2868840,10,11,94212
2026-08-28T01,2767030,11,7,97832
2026-08-28T01,2676230,12,13,172267
2026-08-28T01,553850,13,8,67729
2026-08-28T01,3405690,14,14,79517
2026-08-28T01,381210,15,21,71264
2026-08-28T01,359550,16,15,80039
2026-08-28T01,236390,17,18,81771
2026-08-28T01,105600,18,19,68221
2026-08-28T01,2357570,19,17,63905
2026-08-28T01,322170,20,20,49758
2026-08-28T01,2807960,21,16,47504
2026-08-28T01,3527290,22,12,48704
2026-08-28T01,108600,23,22,81630
2026-08-28T01,413150,24,23,91688
2026-08-28T01,1422450,25,25,72034
2026-08-28T01,3240220,26,27,78546
2026-08-28T01,1973530,27,24,46810
2026-08-28T01,252490,28,26,122536
2026-08-28T01,2507950,29,28,110318
2026-08-28T01,230410,30,29,60801
2026-08-28T01,440,31,30,60290
2026-08-28T01,227300,32,35,44176
2026-08-28T01,1091500,33,33,46881
2026-08-28T01,550,34,31,31653
2026-08-28T01,438100,35,34,55731
2026-08-28T01,1086940,36,32,56134
2026-08-28T01,1203220,37,37,68751
2026-08-28T01,1174180,38,48,38402
2026-08-28T01,3678970,39,36,95770
2026-08-28T01,322330,40,38,50480
2026-08-28T01,394360,41,39,51178
2026-08-28T01,2483190,42,42,35184
2026-08-28T01,1938090,43,41,32143
2026-08-28T01,3241660,44,40,26456
2026-08-28T01,1245620,45,49,28651
2026-08-28T01,284160,46,44,24698
2026-08-28T01,1449850,47,43,18887
2026-08-28T01,1281930,48,47,36234
2026-08-28T01,4000,49,46,32464
2026-08-28T01,1665460,50,45,27368
2026-08-28T01,252950,51,50,25527
2026-08-28T01,1142710,52,55,39063
2026-08-28T01,3513350,53,51,16456
2026-08-28T01,2358720,54,66,44179
2026-08-28T01,1364780,55,58,34577
2026-08-28T01,1222670,56,56,28198
2026-08-28T01,1905180,57,57,30921
2026-08-28T01,489830,58,53,28307
2026-08-28T01,261550,59,62,41414
2026-08-28T01,2075800,60,-1,69046
2026-08-28T01,289070,61,60,40492
2026-08-28T01,1808500,62,59,28747
2026-08-28T01,291550,63,61,13921
2026-08-28T01,3419430,64,52,166028
2026-08-28T01,4704690,65,54,11831
2026-08-28T01,2300320,66,64,43494
2026-08-28T01,292030,67,97,22849
2026-08-28T01,2073620,68,68,32427
2026-08-28T01,251570,69,70,34113
2026-08-28T01,3472040,70,63,24166
2026-08-28T01,945360,71,67,14230
2026-08-28T01,3321460,72,159,21897
2026-08-28T01,1366800,73,65,39561
2026-08-28T01,221100,74,71,48197
2026-08-28T01,3551340,75,73,47245
2026-08-28T01,1085660,76,69,23595
2026-08-28T01,1643320,77,88,33847
2026-08-28T01,714010,78,74,6477
2026-08-28T01,2073850,79,86,16485
2026-08-28T01,2584990,80,139,38166
2026-08-28T01,2584270,81,75,23527
2026-08-28T01,739630,82,89,13998
2026-08-28T01,244210,83,80,12818
2026-08-28T01,294100,84,78,31837
2026-08-28T01,960090,85,79,9533
2026-08-28T01,594650,86,93,23622
2026-08-28T01,2622380,87,90,30540
2026-08-28T01,3932890,88,82,38097
2026-08-28T01,1158310,89,81,24961
2026-08-28T01,813780,90,87,19816
2026-08-28T01,2694490,91,99,19879
2026-08-28T01,4162040,92,83,9301
2026-08-28T01,1329410,93,85,15140
2026-08-28T01,238960,94,72,27695
2026-08-28T01,629520,95,92,17976
2026-08-28T01,1943950,96,141,18696
2026-08-28T01,2139460,97,135,22387
2026-08-28T01,3224770,98,98,10668
2026-08-28T01,2183900,99,91,13573
2026-08-28T01,2379780,100,94,8660
2026-08-28T05,730,1,1,1249537
2026-08-28T05,570,2,2,885638
2026-08-28T05,578080,3,3,735831
2026-08-28T05,431960,4,4,113460
2026-08-28T05,4001890,5,150,372462
2026-08-28T05,1172470,6,5,257945
2026-08-28T05,1623730,7,6,162853
2026-08-28T05,271590,8,10,82145
2026-08-28T05,250900,9,9,91610
2026-08-28T05,2868840,10,11,94212
2026-08-28T05,2767030,11,7,97832
2026-08-28T05,2676230,12,13,172267
2026-08-28T05,553850,13,8,67729
2026-08-28T05,3405690,14,14,79517
2026-08-28T05,381210,15,21,71264
2026-08-28T05,359550,16,15,80039
2026-08-28T05,236390,17,18,81771
2026-08-28T05,105600,18,19,68221
2026-08-28T05,2357570,19,17,63905
2026-08-28T05,322170,20,20,49758
2026-08-28T05,2807960,21,16,47504
2026-08-28T05,3527290,22,12,48704
2026-08-28T05,108600,23,22,81630
2026-08-28T05,413150,24,23,91688
2026-08-28T05,1422450,25,25,72034
2026-08-28T05,3240220,26,27,78546
2026-08-28T05,1973530,27,24,46810
2026-08-28T05,252490,28,26,122536
2026-08-28T05,2507950,29,28,110318
2026-08-28T05,230410,30,29,60801
2026-08-28T05,440,31,30,60290
2026-08-28T05,227300,32,35,44176
2026-08-28T05,1091500,33,33,46881
2026-08-28T05,550,34,31,31653
2026-08-28T05,438100,35,34,55731
2026-08-28T05,1086940,36,32,56134
2026-08-28T05,1203220,37,37,68751
2026-08-28T05,1174180,38,48,38402
2026-08-28T05,3678970,39,36,95770
2026-08-28T05,322330,40,38,50480
2026-08-28T05,394360,41,39,51178
2026-08-28T05,2483190,42,42,35184
2026-08-28T05,1938090,43,41,32143
2026-08-28T05,3241660,44,40,26456
2026-08-28T05,1245620,45,49,28651
2026-08-28T05,284160,46,44,24698
2026-08-28T05,1449850,47,43,18887
2026-08-28T05,1281930,48,47,36234
2026-08-28T05,4000,49,46,32464
2026-08-28T05,1665460,50,45,27368
2026-08-28T05,252950,51,50,25527
2026-08-28T05,1142710,52,55,39063
2026-08-28T05,3513350,53,51,16456
2026-08-28T05,2358720,54,66,44179
2026-08-28T05,1364780,55,58,34577
2026-08-28T05,1222670,56,56,28198
2026-08-28T05,1905180,57,57,30921
2026-08-28T05,489830,58,53,28307
2026-08-28T05,261550,59,62,41414
2026-08-28T05,2075800,60,-1,69046
2026-08-28T05,289070,61,60,40492
2026-08-28T05,1808500,62,59,28747
2026-08-28T05,291550,63,61,13921
2026-08-28T05,3419430,64,52,166028
2026-08-28T05,4704690,65,54,11831
2026-08-28T05,2300320,66,64,43494
2026-08-28T05,292030,67,97,22849
2026-08-28T05,2073620,68,68,32427
2026-08-28T05,251570,69,70,34113
2026-08-28T05,3472040,70,63,24166
2026-08-28T05,945360,71,67,14230
2026-08-28T05,3321460,72,159,21897
2026-08-28T05,1366800,73,65,39561
2026-08-28T05,221100,74,71,48197
2026-08-28T05,3551340,75,73,47245
2026-08-28T05,1085660,76,69,23595
2026-08-28T05,1643320,77,88,33847
2026-08-28T05,714010,78,74,6477
2026-08-28T05,2073850,79,86,16485
2026-08-28T05,2584990,80,139,38166
2026-08-28T05,2584270,81,75,23527
2026-08-28T05,739630,82,89,13998
2026-08-28T05,244210,83,80,12818
2026-08-28T05,294100,84,78,31837
2026-08-28T05,960090,85,79,9533
2026-08-28T05,594650,86,93,23622
2026-08-28T05,2622380,87,90,30540
2026-08-28T05,3932890,88,82,38097
2026-08-28T05,1158310,89,81,24961
2026-08-28T05,813780,90,87,19816
2026-08-28T05,2694490,91,99,19879
2026-08-28T05,4162040,92,83,9301
2026-08-28T05,1329410,93,85,15140
2026-08-28T05,238960,94,72,27695
2026-08-28T05,629520,95,92,17976
2026-08-28T05,1943950,96,141,18696
2026-08-28T05,2139460,97,135,22387
2026-08-28T05,3224770,98,98,10668
2026-08-28T05,2183900,99,91,13573
2026-08-28T05,2379780,100,94,8660
